rank,node,degree
1,0,382
2,8,253
3,5,246
4,7,241
5,10,215
6,6,194
7,16,184
8,18,177
9,12,171
10,21,168
11,37,142
12,3,137
13,20,133
14,17,130
15,23,123
16,25,122
17,14,121
18,1,117
19,68,114
20,34,104
