rank,node,degree
1,0,46
2,7,29
3,8,29
4,5,23
5,6,23
6,3,17
7,9,16
8,18,15
9,37,14
10,12,13
11,14,13
12,21,13
13,17,12
14,25,12
15,34,12
16,38,12
17,10,11
18,16,11
19,23,11
20,13,10
