rank,ratio_dmax_over_d
2,1.4252873563218391
3,1.5121951219512195
4,1.6756756756756757
5,1.878787878787879
6,2.0
7,2.066666666666667
8,2.1379310344827585
9,2.2545454545454544
10,2.339622641509434
11,2.7555555555555555
12,3.1
13,3.263157894736842
14,3.263157894736842
15,3.3513513513513513
16,3.4444444444444446
17,3.4444444444444446
18,3.5428571428571427
19,3.5428571428571427
20,3.6470588235294117
