rank,ratio_dmax_over_d
2,1.5098814229249011
3,1.5528455284552845
4,1.5850622406639003
5,1.7767441860465116
6,1.9690721649484537
7,2.0760869565217392
8,2.15819209039548
9,2.2339181286549707
10,2.2738095238095237
11,2.6901408450704225
12,2.7883211678832116
13,2.8721804511278197
14,2.9384615384615387
15,3.105691056910569
16,3.1311475409836067
17,3.15702479338843
18,3.264957264957265
19,3.3508771929824563
20,3.673076923076923
